,NEO_REFERENCE_ID,EST_DIA_IN_M(MIN),EST_DIA_IN_M(MAX),RELATIVE_VELOCITY_KM_PER_SEC,MISS_DIST.(KILOMETERS),PERIHELION_DISTANCE,APHELION_DIST,PERIHELION_TIME,MEAN_ANOMALY,MEAN_MOTION,HAZARDOUS,RISK_CATEGORY
0,3529625,183.8886721,411.187571,9.551350574,27837396.0,0.783713567,1.338151992,2457843.686,141.4354226,0.901928836,0,1
1,3182169,50.64714588,113.2504611,3.838016764,12937927.0,0.894596466,1.275511373,2458019.676,343.2780838,0.872021301,0,0
2,3256739,253.8370294,567.5968529,6.477856138,72234080.0,1.239712959,2.001073126,2457878.935,58.08747045,0.477830117,0,1
3,3761549,334.6223745,748.2383761,18.02726711,25818802.0,0.993025127,1.966327591,2458313.63,188.533899,0.547588062,1,2
4,3653520,69.91252322,156.3291544,24.30091032,71082192.0,0.922122161,3.114244655,2457587.296,142.0456324,0.343766163,0,1
5,3297357,211.1324448,472.1064988,18.63646195,66189160.0,0.54216207,1.880061974,2457931.17,51.26797507,0.73948199,0,2
6,3508109,33.46223745,74.82383761,7.852602395,50652884.0,0.707755415,1.344200441,2457824.881,166.5595218,0.948412015,0,0
7,3690061,26.58,59.43468684,11.18017051,18637992.0,0.742704851,1.119569743,2458026.151,331.8622581,1.096941557,0,0
8,3071917,265.8,594.3468684,10.89609179,33441924.0,1.163723317,2.113338278,2458007.502,356.7097862,0.469918087,0,1
9,3711785,127.2198785,284.4722965,3.265907518,49207612.0,1.021180618,1.612340087,2458262.364,189.1875926,0.652294868,1,2
10,2175706,555.3349116,1241.766613,21.71108402,53262736.0,0.685310918,1.422746454,2458192.87,184.788176,0.910805046,1,2
11,3147315,42.12646106,94.19763057,6.828544735,64585148.0,1.052422657,1.486410155,2457901.65,68.12007715,0.689124854,0,0
12,3766293,23.15021222,51.76544822,13.34829717,25744922.0,0.826213628,1.215542508,2457845.152,148.4390956,0.95552766,0,1
13,3715095,127.2198785,284.4722965,13.06354939,61236304.0,1.038500362,2.201165724,2457807.32,92.35529581,0.478077928,0,1
14,3261681,38.41978911,85.90926012,3.918709912,14707541.0,0.788825191,1.098574183,2458148.231,201.1724105,1.075111129,0,0
15,3368404,18.38886721,41.1187571,2.63680291,12533409.0,0.873036609,1.101793081,2458010.314,350.1413547,1.004510765,0,0
16,2427684,242.4124811,542.0507863,20.49759595,71684464.0,0.566134289,1.322092146,2457982.845,18.96820627,1.074404843,0,2
17,3644702,242.4124811,542.0507863,30.9735777,61764640.0,0.468663161,1.448242267,2458123.143,231.1780845,1.050383852,1,2
18,2276770,291.4439045,651.6883822,17.03082656,55633244.0,0.316639125,1.261615666,2458063.455,271.4856774,1.405993759,0,2
19,2437846,334.6223745,748.2383761,21.22768067,45581744.0,0.95768152,2.000001258,2457861.875,75.97360123,0.548051889,0,2
20,3409648,305.1792326,682.4015094,23.90695124,57285188.0,0.59392248,1.89332118,2457748.297,179.2346061,0.710675868,0,2
21,3716630,231.5021222,517.6544822,21.79889529,47885060.0,0.618993258,2.074676005,2458096.131,299.6978568,0.630569065,0,2
22,2351545,305.1792326,682.4015094,14.24932602,23107628.0,0.790571863,1.618194883,2457899.556,75.27245911,0.745687644,0,2
23,2354030,530.3407233,1185.877909,6.966518421,14141745.0,1.077463427,3.620333548,2457444.834,152.1322995,0.273783771,0,2
24,2434500,152.9519353,342.0109247,11.38186686,25450598.0,0.938483022,1.588317046,2458250.042,186.8045923,0.694053179,0,1
25,3150768,33.46223745,74.82383761,14.6636972,58931312.0,0.908124872,1.007327014,2458035.741,322.941791,1.051579706,0,1
26,3367027,461.9074603,1032.856481,30.81528105,24557434.0,0.379675278,3.987608585,2457612.314,118.5691622,0.305444237,1,2
27,3713009,231.5021222,517.6544822,16.29888036,57729544.0,0.977464422,1.75187487,2457759.477,149.0119007,0.61824808,0,2
28,3342249,25.38370294,56.75968529,7.980080708,56704524.0,0.723491253,1.502642951,2458214.908,180.0455091,0.839309336,0,0
29,3680251,133.2155667,297.8790628,17.31486936,52779800.0,0.983316517,3.133869533,2458025.99,351.4942008,0.333693947,0,1
30,2342866,253.8370294,567.5968529,18.33627354,59055496.0,0.621775389,2.452354049,2458236.157,238.115927,0.517208725,1,2
31,3468526,55.53349116,124.1766613,7.100761553,8949588.0,0.992704657,2.587373212,2457759.033,99.37278623,0.411538394,0,1
32,3745113,16.0160338,35.8129403,12.48738168,43367696.0,0.676225692,1.079737904,2457861.597,166.4127259,1.198052378,0,0
33,3061790,350.3926411,783.5017643,14.31720289,58462548.0,1.146137799,3.944262494,2457811.153,45.95996946,0.242728719,0,2
34,3720004,22.10828104,49.43561926,6.302520766,14553097.0,0.847709675,1.119462091,2458084.177,275.4545438,1.0103821,0,0
35,2138859,421.2646106,941.9763057,14.028423,43936324.0,0.736660379,2.410047963,2457826.443,86.92712167,0.49941816,0,2
36,2162433,384.1978911,859.0926012,12.31579927,34640292.0,0.704746876,2.013315463,2458082.227,309.1578738,0.622099637,0,2
37,3759721,5.064714588,11.32504611,3.113745324,24388052.0,0.750265055,1.00815755,2458105.252,234.7645434,1.19554019,0,0
38,3560816,105.8168859,236.6137501,9.573860835,62612644.0,0.690961495,1.424048765,2457890.3,99.87650055,0.906317467,0,1
39,2418849,192.5550782,430.5662442,18.83288344,22104204.0,0.897502922,1.11249134,2458016.494,344.3537163,0.978265733,1,2
40,3553169,139.4938229,311.9176705,10.16757294,15655164.0,0.428837566,1.041304753,2457952.711,74.73690547,1.563903669,1,2
41,2068347,278.3267681,622.3575734,12.95553707,33575408.0,0.597207058,1.328548495,2457849.953,157.0428577,1.043151362,1,2
42,3562834,121.4940408,271.6689341,4.923268725,28309120.0,0.907371381,1.259365245,2457851.714,130.0473248,0.874057252,0,1
