,NEO_REFERENCE_ID,EST_DIA_IN_M(MIN),EST_DIA_IN_M(MAX),RELATIVE_VELOCITY_KM_PER_SEC,MISS_DIST.(KILOMETERS),PERIHELION_DISTANCE,APHELION_DIST,PERIHELION_TIME,MEAN_ANOMALY,MEAN_MOTION,RISK_CATEGORY
0,3720004,22.10828104,49.43561926,6.302520766,14553097.0,0.847709675,1.119462091,2458084.177,275.4545438,1.0103821,0
1,3759721,5.064714588,11.32504611,3.113745324,24388052.0,0.750265055,1.00815755,2458105.252,234.7645434,1.19554019,0
2,3325502,12.72198785,28.44722965,7.648193747,270537.7813,0.890217907,1.384692355,2457845.849,125.6478259,0.812461261,0
3,3548887,6.676594135,14.92931834,3.340736374,21105946.0,0.828516997,1.070314147,2457951.491,52.2154303,1.065416819,0
4,3639547,7.320739894,16.36967205,9.881921414,111065.6328,0.963650673,3.065950487,2457523.009,164.5589119,0.344632296,0
5,3732669,16.77084622,37.50075218,17.68070544,33434758.0,0.523895293,1.181528685,2458101.44,233.652972,1.251700772,0
6,3773985,12.25053278,27.39302405,17.32392786,38759792.0,0.775090488,1.587973302,2457793.507,158.8515165,0.767424923,0
7,3730802,33.46223745,74.82383761,7.035079264,17480564.0,0.664228116,1.106863233,2458096.541,246.40938,1.182735479,0
8,3738932,6.676594135,14.92931834,12.38222095,557148.8125,0.597830827,1.408169543,2458176.955,186.8642121,0.981188737,0
9,3580964,14.60679643,32.66178974,8.537467686,2759182.75,0.666863032,1.185170279,2458028.076,329.4994662,1.106052844,0
10,3752730,27.83267681,62.23575734,7.494109484,6307629.0,1.027166548,3.071912204,2457563.24,146.8787745,0.335907479,0
11,3680269,53.03407233,118.5877909,3.853009686,17699382.0,1.102732807,1.584996065,2458066.861,318.01612,0.632660736,0
12,3757290,12.14940408,27.16689341,5.707735473,3939774.75,1.028143592,2.295491056,2457581.512,12.87666386,0.460075547,0
13,3709961,21.11324448,47.21064988,7.985051134,3372055.25,1.001373358,1.991143083,2457741.736,139.3470577,0.538510592,0
14,3743902,22.10828104,49.43561926,4.106639958,33975164.0,0.893191121,1.208948592,2458142.801,229.8440389,0.914653714,0
15,3344171,13.32155667,29.78790628,7.994566749,612536.1875,0.975989017,2.659067139,2457562.412,176.2155438,0.402237337,0
16,3763102,24.24124811,54.20507863,2.23184345,46040992.0,0.952356107,1.793235224,2457727.582,167.2351377,0.612766797,0
17,3619461,21.11324448,47.21064988,5.611424328,3234464.75,0.809673527,1.161287557,2457957.969,42.84909442,1.007469699,0
18,3670038,33.46223745,74.82383761,6.834978799,6050987.0,1.02536925,3.054006643,2457814.862,62.80949058,0.338344,0
19,3666680,11.60259082,25.94418179,8.227977003,3800480.5,0.566444812,1.080205178,2458011.489,345.5021824,1.319310818,0
20,3715097,13.94938229,31.19176705,12.76399932,21044836.0,0.397749936,1.084607275,2457893.617,165.0928364,1.544613271,0
21,3772846,14.70127416,32.87304837,10.2203766,46995432.0,0.649567807,1.160126809,2458066.911,283.9532797,1.145093965,0
22,3621815,24.24124811,54.20507863,5.90835464,5961561.0,1.001556427,2.360698043,2457861.664,62.77746072,0.452171513,0
23,3601282,9.216265485,20.60819612,9.898411697,551152.6875,0.714615667,1.338757257,2457973.646,25.44258583,0.947430411,0
24,3508128,31.95618867,71.45621017,5.290548385,14563436.0,0.823576557,1.317577736,2457987.841,11.26336071,0.889768694,0
25,3611399,26.58,59.43468684,7.320287391,2225250.25,0.834212417,1.4016347,2458010.062,352.0271708,0.833846118,0
26,3406893,29.14439045,65.16883822,5.754958031,1949933.25,0.993819828,2.037729887,2457937.354,33.35001464,0.528143605,0
27,3720004,22.10828104,49.43561926,9.699244906,31570634.0,0.847709675,1.119462091,2458084.177,275.4545438,1.0103821,0
28,3548241,23.15021222,51.76544822,8.827821282,3675180.5,1.008202562,1.847613629,2457988.589,6.880192388,0.577635253,0
29,3617713,11.08038821,24.77650126,18.68984365,35174340.0,0.608287194,1.373892563,2458118.236,242.3901962,0.99892875,0
30,3744991,22.10828104,49.43561926,3.004798431,13972810.0,1.071642047,1.534505695,2457968.829,20.98494514,0.662598608,0
31,3723740,35.03926411,78.35017643,7.03515558,4387917.0,1.016878147,2.12029683,2457896.689,52.08176424,0.501696364,0
32,3721910,11.60259082,25.94418179,1.801396047,4084772.5,1.041266471,1.192725193,2458042.596,324.8546607,0.834885167,0
33,3623682,13.32155667,29.78790628,11.60542091,17580514.0,0.799767043,1.185916592,2457830.559,169.3102929,0.996285897,0
34,3655395,15.29519353,34.20109247,3.993831477,6460553.0,0.748115027,1.020942969,2457996.8,4.383982772,1.184775218,0
35,3678609,10.58168859,23.66137501,5.558143893,38740544.0,0.937133852,1.381507907,2458165.498,229.7200396,0.789584451,0
36,3691354,21.11324448,47.21064988,4.173023367,9653789.0,0.997154572,1.265808651,2458178.564,214.1823512,0.818903681,0
37,3699902,11.08038821,24.77650126,1.968980134,23955882.0,1.003797537,1.314210896,2457918.535,64.74520743,0.789908068,0
38,3736515,22.10828104,49.43561926,12.0078579,2608728.5,0.92298218,1.717028399,2457878.831,79.07147603,0.649891066,0
39,3620677,11.08038821,24.77650126,14.4036395,660830.4375,0.809218775,3.380536468,2458530.989,187.5582159,0.325061914,0
40,3601276,33.46223745,74.82383761,8.387227,16550507.0,0.855519618,1.105369136,2457961.691,39.40010763,1.015242134,0
41,3670143,127.2198785,284.4722965,2.164202138,46108704.0,1.289268067,2.69401772,2457804.458,68.74427246,0.350660516,0
42,3745642,5.303407233,11.85877909,25.63484919,154408.3594,0.448031229,3.444328455,2458492.776,181.2942226,0.36301922,0
43,3748472,11.08038821,24.77650126,9.994683899,27843766.0,0.835922839,1.168455684,2458097.776,264.4382556,0.982379873,0
44,3748361,16.77084622,37.50075218,6.243316619,4125949.0,0.980452018,1.68485577,2457432.567,28.14607769,0.640660598,0
45,3753570,11.60259082,25.94418179,5.314304806,46047556.0,0.91236526,1.494280497,2458065.575,311.4102327,0.746673629,0
46,3736517,9.650614696,21.57943048,11.92157244,288381.25,0.800347157,2.189037481,2458085.21,314.3109165,0.539357063,0
47,3719182,10.10543415,22.59643771,15.14707555,1360002.875,0.670702267,2.117080999,2458298.658,181.4304842,0.598908611,0
48,3605257,4.212646106,9.419763057,12.70728978,16642088.0,0.711459849,2.48363567,2458340.136,194.2183772,0.488116286,0
49,3733135,9.650614696,21.57943048,4.297627916,1311429.75,0.968002541,1.297761025,2458161.98,228.0084844,0.817385979,0
50,3763937,10.58168859,23.66137501,16.26347634,25578734.0,0.839230668,2.366470092,2457755.112,119.1841669,0.485696079,0
51,3405335,10.10543415,22.59643771,9.033342107,1162196.5,0.913097587,2.290217089,2458200.76,262.6255938,0.486238857,0
52,3694127,27.83267681,62.23575734,4.937599838,33405930.0,0.930157645,1.196745268,2458078.781,289.646602,0.898726543,0
53,3763945,9.216265485,20.60819612,4.748231141,29198216.0,0.855286613,1.217242645,2458022.448,339.4933577,0.934325199,0
54,3597334,16.0160338,35.8129403,13.35367274,11609568.0,0.860334873,2.629554845,2457605.739,168.7974036,0.427593911,0
55,3772759,6.230960191,13.93285055,13.59223294,48298924.0,0.882471179,1.183949636,2458145.012,224.3796114,0.938471127,0
56,3773594,18.44824156,41.25152219,14.24888835,27825180.0,0.672870747,1.201827099,2458071.69,282.6839199,1.086055819,0
57,3733264,8.801465209,19.68067451,15.34661016,70535552.0,0.974765731,1.131449462,2458192.408,184.9801338,0.912000247,0
58,3645649,30.51792326,68.24015094,8.115731138,12311839.0,0.830905112,1.254310277,2458180.936,192.9503264,0.925811744,0
59,3611396,13.94938229,31.19176705,17.75867273,44135828.0,0.886281005,2.191891445,2458348.973,180.1214523,0.516190071,0
60,3667477,5.064714588,11.32504611,13.77361698,24112788.0,0.261496266,1.208055997,2458071.175,249.404179,1.564845674,0
61,3599304,21.11324448,47.21064988,5.165429945,6084008.0,1.017889454,2.055835757,2458077.594,320.1183547,0.517310756,0
62,3545552,6.376097899,14.25738833,6.004170583,79384.41406,0.860848097,1.260075905,2457912.466,79.45367201,0.902529502,0
63,3694529,33.46223745,74.82383761,3.90971951,4152308.25,0.753670714,1.040920798,2458076.903,271.4048417,1.159579832,0
