,NEO_REFERENCE_ID,EST_DIA_IN_M(MIN),EST_DIA_IN_M(MAX),RELATIVE_VELOCITY_KM_PER_SEC,MISS_DIST.(KILOMETERS),PERIHELION_DISTANCE,APHELION_DIST,PERIHELION_TIME,MEAN_ANOMALY,MEAN_MOTION,RISK_CATEGORY
0,3182169,50.64714588,113.2504611,3.838016764,12937927.0,0.894596466,1.275511373,2458019.676,343.2780838,0.872021301,0
1,3256739,253.8370294,567.5968529,6.477856138,72234080.0,1.239712959,2.001073126,2457878.935,58.08747045,0.477830117,1
2,3761549,334.6223745,748.2383761,18.02726711,25818802.0,0.993025127,1.966327591,2458313.63,188.533899,0.547588062,2
3,3653520,69.91252322,156.3291544,24.30091032,71082192.0,0.922122161,3.114244655,2457587.296,142.0456324,0.343766163,1
4,3071917,265.8,594.3468684,10.89609179,33441924.0,1.163723317,2.113338278,2458007.502,356.7097862,0.469918087,1
5,3711785,127.2198785,284.4722965,3.265907518,49207612.0,1.021180618,1.612340087,2458262.364,189.1875926,0.652294868,2
6,2175706,555.3349116,1241.766613,21.71108402,53262736.0,0.685310918,1.422746454,2458192.87,184.788176,0.910805046,2
7,3147315,42.12646106,94.19763057,6.828544735,64585148.0,1.052422657,1.486410155,2457901.65,68.12007715,0.689124854,0
8,3368404,18.38886721,41.1187571,2.63680291,12533409.0,0.873036609,1.101793081,2458010.314,350.1413547,1.004510765,0
9,2427684,242.4124811,542.0507863,20.49759595,71684464.0,0.566134289,1.322092146,2457982.845,18.96820627,1.074404843,2
10,3644702,242.4124811,542.0507863,30.9735777,61764640.0,0.468663161,1.448242267,2458123.143,231.1780845,1.050383852,2
11,2276770,291.4439045,651.6883822,17.03082656,55633244.0,0.316639125,1.261615666,2458063.455,271.4856774,1.405993759,2
12,2437846,334.6223745,748.2383761,21.22768067,45581744.0,0.95768152,2.000001258,2457861.875,75.97360123,0.548051889,2
13,3409648,305.1792326,682.4015094,23.90695124,57285188.0,0.59392248,1.89332118,2457748.297,179.2346061,0.710675868,2
14,2351545,305.1792326,682.4015094,14.24932602,23107628.0,0.790571863,1.618194883,2457899.556,75.27245911,0.745687644,2
15,2354030,530.3407233,1185.877909,6.966518421,14141745.0,1.077463427,3.620333548,2457444.834,152.1322995,0.273783771,2
16,2434500,152.9519353,342.0109247,11.38186686,25450598.0,0.938483022,1.588317046,2458250.042,186.8045923,0.694053179,1
17,3150768,33.46223745,74.82383761,14.6636972,58931312.0,0.908124872,1.007327014,2458035.741,322.941791,1.051579706,1
18,3680251,133.2155667,297.8790628,17.31486936,52779800.0,0.983316517,3.133869533,2458025.99,351.4942008,0.333693947,1
19,3468526,55.53349116,124.1766613,7.100761553,8949588.0,0.992704657,2.587373212,2457759.033,99.37278623,0.411538394,1
